Medicine Name,Generic Name,Brand,Category,Dosage,Description,Unit Price,Stock Quantity,Reorder Level,Prescription Required,Contraindications,Drug Interactions,Side Effects,Max Daily Dosage,Manufacturer,Is Active,Image URL
Norvasc,Amlodipine,Amlodipine 5mg,antihypertensive,5mg,High blood pressure - premium,35,300,60,Yes,Severe hypotension|Aortic stenosis,Simvastatin|Cyclosporine,Ankle swelling|Headache,10mg,Pfizer,Yes,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBw8SEg8QEBAQFRUREBAQEhUQEBgVFRAVFRUWFhUVFxUYHSggGBslHhYVITEhJSorLi4uFx8zODMsNygtLisBCgoKDg0OGhAQGTclIB03Ky0tKystMjctLS8rLS0wKy03LysvLzAwLS0rLS0tLSstLzctKy01LTAtLS8tLS0rLf/AABEIAOEA4QMBIgACEQEDEQH/xAAcAAEAAQUBAQAAAAAAAAAAAAAAAQMEBQYHAgj/xABDEAACAQIEAQgFCQcCBwAAAAAAAQIDEQQSITEFBhMiQVFhcZEHFDKBoSMzQlJygrHB0RU0YqKys/BDcyRUY4OS4fH/xAAZAQEAAwEBAAAAAAAAAAAAAAAAAQMEAgX/xAAuEQEAAgIABQEFCAMAAAAAAAAAAQIDEQQSITFBBSIyUYGRExRCYXGhwfAVsdH/2gAMAwEAAhEDEQA/AO4gAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA85l2rzJzICQRdBvsAkFPO+wnM+z4AemyTyr9aJAkEPxKM6rX1X97K/J6fFAVwUsPXjNNrqdn3Ps008iqAAAAAAAAAAAAAAafx3llPDVZxqYecaKy5MQ4uVOd0r3cX0HdtWlbY94flK6qUqdSDT1Tik0/B63MnUaV09N1r2daMDi+SuDlJzhCVCb1c8LLm7vvhZ05e+LLK2r5hXatvEr+XEar3nL3afgUpYub3nJ+Mn+pr/KXGSwFKFRylVUqip6xSavGTu7Oz9nu32NSxHpAn9Gl52X6l1cfNG4UXycs6s6VDFSi7xk0+5l9h+PTWk0pLyfw0OK1+XeLfsqC8dfwsWFblZjpf6tr9i/U7+7zPdx95iOz6OwmOo1NIys/qy393b7i65tHzLwzjuKeJwzdaemIoPs2qR7Dus683vJ+Zny4uSWnDl+0jbZW4rdr3tFOWKpL6UTV54iKcYynFOd8qcknO2ryp7+49FelrYpcTpL6V/BFKXF6fUpMwTLHF8YwtLK6uIoQU75c1WKzW0bWuq7xobNLjPZDzZRlxefUkjXKvHcLGssO6nyjcI2jCclFz1gpTjFxg3uk2i0o8pqNSpKjRhWlL5WNOpzL5mpUprpQVTx0u7Lv1RPLKNw2mXFKr615FOWOqv6TLDCym4RdRJSt0lHbf/P80Nd4tXtjHGc5KHMw0dTLGLcknPK5JSssztu7bFWW8UjfyX4cX2szG+0bbZUxEvpSa8XYsqvFKEfar0l41I38rmiYX1Tm061nN5ruUptrVpaLu117D3xjCwvTVCCd4ybVJOWjk8mZpu8rWv8A+zHbjLcnNWI8dN/H5PQr6dTn5bWnz11qOnzdZ5NTjKi6kHmjOcnFrZ2tHT3xZljAcg6co4HDxnGUWudupJpr5SdtGZ82Y7TasTPl5uWsVvaseJkAB2rAAAAAAAAAABh+IRu5/wDyxYyTi92l0VotNaku+2t0ZHHRvKSfX+hbzVwNE9KLbwsb/RxcFp/tzt+Jyx0m2lFNttJJK7beiSXW32HV/SXrhHtpi6e3+3Lfv1NI5HTpRxKdScIN0qsaU5+zCtJWhJ+cve0bsM6pthz13k0ueC8jKc1CVes5OazKjhXCUoxWRuU6jdkkqkNFf2k0zYcZyH4UotOo6btdTeIV1rlTtLRq9l4uxklwik6kkmoxoUsOo1JWk1NJveWisqeHfZZWtqYLjHGsHhdMNN1qqalGzjKjTkoqOZytr7KllT1krsr572npK37OlI6w0OWEdHFc25KXM4lQzR2lkqWzLudrnZeV6vgscn/y1b4RZxfNJzzybbc88m95Nu7b77nduIKLhOMoxkptU3GSvGXOSULSXWulqdZ+9XPD9racu4FOvDEcGpVEnGKnWw0r+1Tr0k+b+7KLXv7LF1wzGYyq+jVxk6ssNxH16nLOoUJZJqhGnC1oTvlso6+Gps9Dj0ebi6dKjaLlCLpySjSUpyjTUY2eqiouS010JnxytOUIwUUo1pRllzSclFO6bWkHF2zLtlFX3vXNvyWxT82AlybxMMLhMRQhVli+m6qrStNKtQ5qS6drZVGCSZX4ryTxUlChRjR5uOCpYdTzRpyzQalLO1BznFyTaimo3ab2aeYp4nHVIRnHN0lNvLSyZlZqLjGrfI+tLrdr6E4rheJlV52LyydGlCU04wbadNySlFOa1i3Ztxtok7sjmlPLGlnU5L1fWKNfnaVJp4ZSnSlVjVqc1TWem1myTUsj6Vl0Y6p6l3wbgqoVIKGNqSpRq1nSw8eilOWfMqsou9RJwqWUkknF9Z6fBa0+jUmujFrpXqRlndVSTva7y83fRLXrLnAcEVKUJqadpSb6Ljuql9MzW8o9Seju3dJRNp13TFevZmblpiOG0Kks9SlCUrJXkr6LbR6Fzcm5VNYnpMLa2tWd1nSlSwdGPsUqcfs04r8EXCPB6uTERHZE2me7Y+EfNQ+9/Uy8LPhHzUPvf1MvDkAAAAAAAAAAAAAGMxntv3fgi2kXWN9t+78C1YGlekdt4Se+mJpW/wDF7HK7HVvSL+6Vu6vQ/wA+Jypm7h/dYeI994cF2LyIaPbPLLlLwzu+IgpJxd9ezdNO6a700mcJns/Bnc6taMYucmlGKcm31JdZmz+Grh/KY0ILaEF7K0il7KSj5JJLuR7ZquL5U1fW6WFpUF0ksyrydOV2pSSeVSydFReqb6Vmk9s/g8U551KDhOnJRnHMpK7ipJxkt01JdSfcimazC+LRK6XYvAXPOYjMQl7uLnjMRmAqXCZTzEpgVLkplPMekwNn4R81D739TLwtOE/NU/B/iy7K3QAAAAAAAAAAAAAxnEZqLlKTSSV227JJLVtltdbrZ6q3WVeOLo1NUvk3rJXS03a7DTsJWaqx5u8FOtRk4QnaKpz0V6btHV66LNaXVa4EekamvUqrXXVoPykkclZ130jfuNX7dD+5E5E2beH91i4j33kMXIbLlMPM9n4M7biaMakHCV0mlrF2aaaaafamk/ccQm9H4M7e5lGbw04PLEVuAZ6sK860uchtUhShGo9HHpOzhLRvXLp1WMrh6MYLLG+7bbblKTe8pSerfeyHM8uZT3XdFbMQ5FHOeXUGjavmGctnVI50aNrnMSplrzxjeK8Qq03FxdOMbwSzq7qSlKzje/QSWt32nNp5Y3LqlZvOoZ5SPaka7TxlR1YSzvLLEVaGSyy5YRl0tr5rxvv1mbjMitot2dXpNNb8t14YvkqX2Ivz1LkoYFWp0l/04f0ornAAAAAAAAAAAAAAMRx5tQqtNpqjNprdWjLU0rC4eMK0G1NSlUhGyjaDcW52cts3RlonLS2sureuJPX7v6mGfD4txnGUouMs3RtaW6as+5vbtuSMN6RP3Cv9qh/dgcdlI7H6RF/wGI+1Q/vUziNSsbeGjdWDip1dXlNFKVdFtOqUJVDRyqNzK6q19GdulVOCOR2bG15ZZZXZ3Wv3lda9qur9RRljs0YZ1vbJSrFN1jXPWJyavXqy0nKPNU1BWs3bfusr738StTxU4ppQlvdOtUSk7tWT/m8usr5VvMzbrnl1jAT4jK7+Uo20SSu3mlBZVfb2r+5eJR9ck/8AUqzvtkpqK7Pa9z8yeVHM2J1jwsSns0/B+416jGV4N05vWN5VKusbK2bL19f57K1bDxnFro00rNdG7lu3bM99W2Tyo5mZliEtW7eLtYx2NmpN5q9qcks9PLmvzbu8sr9HqvoeavSTi9mWjw1JXzNu7k3eWrc0lJ6bXt1HNsU36RDumauP2pnX0/lk6ValCpKS5yTU28uaOWnKos0mk2nqvHd2MxgsUppNaXuteqza/I1mNeC2i2+163srbt7lXDcRnGUbRSta2bb4FleCyeIZsnqnD+bbdi4Ti1UoUKiVlOlCSV72ul1l3c0vgPG+apUKM4PLTpwpqUXraKSTcWbXh60ZxUoSTT2aMd8dqd4bMeamT3ZXNyTwj0VrUggkAACQAAAEXAGKxvty8V+CLZK3aXfEsJUl06Uo5kvZqexPuzLWD/iV/BmI/aMYyVOspUajdoxq2SqPX5uoujPa9k81t0iRifSD+4Ynxof3qZwao9zvXL5f8Biv+1/epnBMQrNm7hZ9mWHio9uFGUylKRXpYOrPWFObXbay83ZF9geT9WcvlGoK3apSfcrOyNMUvbtDNbLjxx7Vu397MRFu68Uddr1JNSUXZ9TsnbXsZpT5LQumqs7pp6xT26tLGy1MVJX2RNuFyTPZX/kcER3/AGVvVpP261R636Msq02vb/NSVhKSTTinfV5ne+/b4vzMXT4inJqbsru0uxeB7q46jZ2m5PZJRa992WRwU+Z/ZTb1G2+lP3ZLPSjtlXgkT6yuxmKxNKUlaKLaNfEwVlGVrq16aevYm18C2vCUjv1UTx2bJ7kxDMTxb+r5lpLifSak7LtWxRwsqspXr3jdaZ45b+CskXlThEJWbbV9U9EmvF6FtcWOvhnvmy2ma3t9Hiti6VneqnbZLNr4aW8y2xMZNLL3PQj9nUbt55SSemVq3nbXyKmH4lkspQTS0VnldvGzLYjUdFUxG45Z3+q3jjq0Elkvro5Qb91y/wCG4ipKWaveKv0M0Mqfao9XYUnxhNWUEtd27u3d2O3WTi6E5bvVX3vf3ka33dWtFY1rTdsNQpzjGamotq2jWy/LYuMBxGdNuVOV1ezlTd4ya0d1sc7lgqzyrNCzvvN9HxVjbOSk1QpzVarTSz3WaTj1K9lK19kYM/DxWJnb0uH4nmmK/wAt+4dygjLSokv4oar3rdfEzNHEQl7MovwZzv8AbGHb+SjUqy6lRpyfxdkX2G9eqWyYSUF9arLXxtpb4nl3x0+Onr48mT4bb2SWvDac404xqO8ktXe5dGeWqAAEAACQAAENFLE4WnUjKFSEZxkrSjOKlGS7GnoysANX4ryLo1aU6EK9elTqZc0IyU4rLKMlkVRN07ZVpFqPcYSj6KOHRXT9YqtfXrOF/FUsp0M8tHUWmOkS5msTO3JOUPI+pQvKjT+TSVlFtqCXjrbxNU5mSldK/VZ6H0I4mt8c5G4evecPkqj64q8ZeMf0+J6XDeocscuTt8Xj8X6ZzTN8Pf4T2cerzxl0o87dLSzei8blzgcNaNqracm30mkr7atvuMzxjk9icO3ng8vVOKvF+9be+xiJYaUkoOcUlrfRvX3np1y0tG62h5F8WSPZvSY/vxUq+Bw+rc1po1Cabb7rX8y19TpRTl02943krLsuralxS4OnmfPKyelklfzloXMaCSSc1pp1yf8AKjr7Skd5RyZekUiZ+S0pcXcU1KKlpp1W8h+03UcVaK+ynd6b3bMjh8LOV1ToVKl9Pmo2fg3dryMrhuTHEaiSjh4wX8bX5ZSi/GYaz3aa8BmvXXJr9ZhrWJw8pa38ynHhdR2tOGv2nl8eib/hfR7iJa1cRGPdTj+e/wATL4f0eYTTnZ1atvry0/Mov6nT8MNGH0nNHS1o+m/+OY0aMYXTqxfw6uy9y4w+GcpdCi6j7qOZeUkdhwfJnBUrZMPT07Vd/EylOlGOkUku5WM1vUrz0iGqno+KJ3a0zP0cjwPJbHS9jCxhrfNNRg/wv8TM4fkBipa1K9KF98kXN/zHRrEma3GZrfi+jXXgOHr+Hf69f9tNwvo+w6+crV59qUskX7omYwXJTAUvZw1O/bNZn/NczYKLXtbvLTXHWvuxpTpUYRVoxil2RSS+BUsAcOwAEgACAABIAAAAABBIAgEgDxOCas0YXGclMHUbbpJN/V0+BnANo01qHIjBL6Mn7/0MhheTuDp+zQp+LV38TKgncmoeIUox0ikvBWPSR6BCXlIkEgQCUAIJAAgkAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAEgAAAAIAAAAASAAAAAAAAAAAAAAACAAAAAAAAAAAAAAACAJBAAkEAISACUgAAAAAAAIJAAgkAAAAAAIAAAQSAAAAAAACAAAAAAAIf/Z"
Telpres,Telmisartan,Telmisartan 40mg,antihypertensive,40mg,Hypertension - generic,16,400,80,Yes,Pregnancy|Bilateral renal artery stenosis,Lithium|NSAIDs,Dizziness|Hyperkalemia,80mg,Sun Pharma,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/fced5cc98e0e4a0c9d4e5602eb4b7cc8.jpg"
Telma,Telmisartan,Telmisartan 40mg,antihypertensive,40mg,Hypertension and heart protection,25,400,80,Yes,Pregnancy|Bilateral renal artery stenosis,Lithium|NSAIDs,Dizziness|Hyperkalemia,80mg,Glenmark,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/098efd0233f445b99635b584b3ba0ec3.jpg"
Micardis,Telmisartan,Telmisartan 40mg,antihypertensive,40mg,Hypertension - premium,55,200,40,Yes,Pregnancy|Bilateral renal artery stenosis,Lithium|NSAIDs,Dizziness|Hyperkalemia,80mg,Boehringer Ingelheim,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Aten,Atenolol,Atenolol 50mg,antihypertensive,50mg,Hypertension - generic,8,450,90,Yes,Asthma|Heart block,Calcium channel blockers|Digoxin,Bradycardia|Fatigue,100mg,Cadila,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/f27fb68167b14f5e84895a0c180fc042.jpg"
Tenormin,Atenolol,Atenolol 50mg,antihypertensive,50mg,Hypertension and angina beta blocker,12,450,90,Yes,Asthma|Heart block,Calcium channel blockers|Digoxin,Bradycardia|Fatigue,100mg,AstraZeneca,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/aqdb5hdna3wrhb8sk8di.jpg"
Losacar,Losartan,Losartan 50mg,antihypertensive,50mg,Hypertension ARB - generic,18,350,70,Yes,Pregnancy|Severe liver disease,NSAIDs|Lithium,Dizziness|Hyperkalemia,100mg,Cadila,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/ontxlra49akx425fkg8s.jpg"
Losar,Losartan,Losartan 50mg,antihypertensive,50mg,Hypertension ARB,28,350,70,Yes,Pregnancy|Severe liver disease,NSAIDs|Lithium,Dizziness|Hyperkalemia,100mg,Merck,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/u12vjvqax8qf7hqmizn5.jpg"
Cozaar,Losartan,Losartan 50mg,antihypertensive,50mg,Hypertension - premium,50,200,40,Yes,Pregnancy|Severe liver disease,NSAIDs|Lithium,Dizziness|Hyperkalemia,100mg,Merck,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Rami,Ramipril,Ramipril 5mg,antihypertensive,5mg,Hypertension ACE inhibitor - generic,15,300,60,Yes,Pregnancy|Renal artery stenosis,Potassium supplements|NSAIDs,Dry cough|Angioedema,10mg,Cipla,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Cardace,Ramipril,Ramipril 5mg,antihypertensive,5mg,Hypertension post-MI ACE inhibitor,22,300,60,Yes,Pregnancy|Renal artery stenosis,Potassium supplements|NSAIDs,Dry cough|Angioedema,10mg,Sanofi,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/e7a2bb83d47d441a8f1d5bc4d4d10292.jpg"
Frusenex,Furosemide,Furosemide 40mg,antihypertensive,40mg,Edema and hypertension - generic,7,400,80,Yes,Anuria|Sulfonamide allergy,Aminoglycosides|NSAIDs,Hypokalemia|Dehydration,600mg,Novartis,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/dpfjklkocebscir2pguu.jpg"
Lasix,Furosemide,Furosemide 40mg,antihypertensive,40mg,Edema heart failure diuretic,10,400,80,Yes,Anuria|Sulfonamide allergy,Aminoglycosides|NSAIDs,Hypokalemia|Dehydration,600mg,Sanofi,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/pmvxhtdtxl1vjonvjdlx.jpg"
Metolar,Metoprolol,Metoprolol 25mg,antihypertensive,25mg,Hypertension beta blocker - generic,14,85,80,Yes,Severe bradycardia|Cardiogenic shock,Verapamil|Diltiazem,Dizziness|Cold extremities,200mg,Cipla,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/17a4925916dc4953b8b9e0d1f6042d32.jpg"
Betaloc,Metoprolol,Metoprolol 25mg,antihypertensive,25mg,Hypertension and heart failure,20,400,80,Yes,Severe bradycardia|Cardiogenic shock,Verapamil|Diltiazem,Dizziness|Cold extremities,200mg,AstraZeneca,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/404c99a676514115b6a6c20108aa5c90.jpg"
Biselect,Bisoprolol,Bisoprolol 5mg,antihypertensive,5mg,Heart failure hypertension - generic,16,300,60,Yes,Cardiogenic shock|Severe asthma,Verapamil|Diltiazem,Bradycardia|Fatigue,20mg,Cipla,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/xoe7rp39zsrgpq8vygci.jpg"
Concor,Bisoprolol,Bisoprolol 5mg,antihypertensive,5mg,Heart failure hypertension beta blocker,25,300,60,Yes,Cardiogenic shock|Severe asthma,Verapamil|Diltiazem,Bradycardia|Fatigue,20mg,Merck,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/eqatywxxv7ya5w507ldv.jpg"
Ocid,Omeprazole,Omeprazole 20mg,gastrointestinal,20mg,Acid reflux and ulcers - generic,18,400,80,No,Severe liver disease,Clopidogrel|Methotrexate,Headache|Diarrhea,40mg,Cadila,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/55dfce8bc94541e3bd2a06e0675af3b7.jpg"
Omez,Omeprazole,Omeprazole 20mg,gastrointestinal,20mg,Acid reflux and peptic ulcers,55,180,40,No,Severe liver disease,Clopidogrel|Methotrexate,Headache|Diarrhea,40mg,Dr Reddy's,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/55dfce8bc94541e3bd2a06e0675af3b7.jpg"
Pan 40,Pantoprazole,Pantoprazole 40mg,gastrointestinal,40mg,GERD and peptic ulcer - generic,14,450,90,No,Hypersensitivity to PPIs,Clopidogrel|Warfarin,Headache|Diarrhea,80mg,Alkem,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/0aab884d88364d8aaf58e8081819f9d4.jpg"
Pantocid,Pantoprazole,Pantoprazole 40mg,gastrointestinal,40mg,GERD and peptic ulcer PPI,22,450,90,No,Hypersensitivity to PPIs,Clopidogrel|Warfarin,Headache|Diarrhea,80mg,Sun Pharma,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/47362ef49cac41729afb6b8e0302f926.jpg"
Pantop,Pantoprazole,Pantoprazole 40mg,gastrointestinal,40mg,GERD - premium,35,300,60,No,Hypersensitivity to PPIs,Clopidogrel|Warfarin,Headache|Diarrhea,80mg,Aristo,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/0aab884d88364d8aaf58e8081819f9d4.jpg"
Vomistop,Domperidone,Domperidone 10mg,gastrointestinal,10mg,Nausea and vomiting - generic,8,400,80,No,Prolactinoma|GI hemorrhage,Ketoconazole|Erythromycin,Dry mouth|Galactorrhea,30mg,Alkem,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/vryrkrv5chzeyiqwizfh.jpg"
